Message content,Label
"Mpigie Mzee mkuyu kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo kuludishamke aumme,kilimo,ufugaji,biashara Piga,0615322839,atakusaidia",Spam
HABARI NAITWA BIBI MAUWA NI MGANGA WATIBA ASIRIA NASAIDIA UZAZI MAGONJWA KESI ZULUMA KUMILIKI MALI KULUDISHA MKE/MME PG 0658803728,Spam
HABARI NAITWA BIBI NTINDA NIMGANGA WATIBA NASAIDIA UZAZI KESI ZULUMA MASOMO MALI BILA KAFALA KULUDISHA MKE/MME PG 0680475943,Spam
"imeshinda Tsh7,000,000.00 /=milion saba kutoka Airtel TIMZA OFA kupokea pesayako piga O681097629 sante",Spam
kalibu freemasoni tanzania,Spam
umiliki majumba magari pesa pete ya bahati pia kuza biashara vipaji kupitia 6.6.6 bila kutoa kafala kujiunga piga no 0679935829,Spam
Iyo hela tuma kwenye number hii…,Spam
Nitumie hela kwa nambaa hii,Spam
Tuma kwenye namba hii,Spam
"FREE_MASON YA BILA KAFALA SASA INAPATIKANA TANZANIA KARIBU UJIUNGENASI UTIMIZE NDOTO ZAKO KWAMHITAJI PIGA,0738890034)(0782655862)",Spam
"Recruiting partiners, working on mobile phone for 1-5 minutes daily salary 8000TZS.contact information : https://t.me/Online221111",Spam
"Nitumie kwenye Airtel hii 0680476264 JINA Helena mateo, namba yangu usitume inadaiwa",Spam
ela itume kwenye namba hii ya Artel O694602768 jina AGNESS LUPIA,Spam
Utanitumia kwa hîi AIRTEL 0783-114-986 j'ina linakuja MALIGO MWASALE.,Spam
"Umepata 0fa Tshs.7,000,000 Miliön [7] kutoka HALOTEL vat% Tsh25,000 Piga 0624530780 kujaziwa form yako Ahsante!",Spam
Utanitumia kwa hii Airtel .0680-403-758. Jina SOPHIA LUCAS ELIUS ukituma nifahamishe,Spam
kijana umepitia changamoto nyingi huoni mafanikio unajitahidi kufanya biashala hataukipata pesa hazikai mikosi nitaku saidia utamiliki pesa na utakuwa tajili mkubwa piga 0773196993,Spam
iyo hela nitumie kwenye hii AirtelMoney O681001752 jina litoke JENERITHA MWANAWIMA SAIMON.,Spam
iyo ela nitumie kwenye namba ya Airtel hii 0687490539 jina litakuja DIGINA MWANAKATWE,Spam
O611790882 weka kwenye HALOPESA jina PAULO DONARTI NKONDO,Spam
Utaniwekea kwenye Airtelmoney hii 0789-202-278 jina litakuja EVELINA NELBATI.ile inadeni usitumie,Spam
iyo ela nitumie kwenye namba ya Airtel hii 0687490539 jina litakuja DIGINA MWANAKATWE,Spam
Utaniwekea kwenye Airtelmoney hii 0789-202-278 jina litakuja EVELINA NELBATI.ile inadeni usitumie,Spam
" ""Hujambo, ni Grace – tulikutana kwenye sherehe ya Daudi mwaka jana. Nimeshindwa na nauli, nisaidie Tsh 30,000 tu. Nitakurejeshea wiki ijayo. ??""",Spam
"Mambo, ni John kutoka darasa lako la 2018. Nipo kwenye dharura, naomba unisaidie Tsh 25,000 kwa Airtel Money. Nitalipa kesho",Spam
"Habari, ni Sarah tuliyekuwa pamoja kwenye kikundi cha WhatsApp. Nimeshindwa na malipo ya hostel, naomba Tsh 50,000. Nitarudisha mwisho wa mwezi",Spam
"Sema, ni David – mwenye duka la viatu pale Kariakoo. Nimeshindwa na bei ya mzigo, naomba Tsh 40,000 tu. Nitakupa kesho",Spam
"Mambo vipi, ni Mama Furaha kutoka kanisani. Nimeumwa na mgonjwa, naomba Tsh 20,000 ya dawa. Mungu akubariki.""",Spam
"Niaje, ni Juma tuliyefanya mazoezi ya gym pamoja. Nimepoteza mkoba wangu, naomba Tsh 15,000 ya nauli. Nitakuja kesho kukurepay",Spam
"Shikamoo, ni Bibi Zainab kutoka nyumbani mwako. Sina stima, naomba Tsh 10,000 ya kunitumia kwa LUKU. Nitakushukuru",Spam
"Hey, ni Paul – mwenye baiskeli yako ya Uber. Nimevunjika gari, naomba Tsh 35,000 ya spare part. Nitakulipa mwisho wa wik",Spam
"Habari yako, ni Daktari James kutoka hospitali ya Mwananyamala. Nimekosa fare, naomba Tsh 12,000 ya kufika kazini. Asante.""",Spam
"Ndugu, ni Fatuma tuliyeshirikiana kwenye biznesi. Nimekosa malipo, naomba Tsh 60,000 kwa mkopo. Nitakurejeshea mwezi ujao.",Spam
"Hellow, ni Steven – kaka yako wa kwenye kikundi cha WhatsApp. Nipo kwenye shida, naomba Tsh 18,000 ya chakula. Nitarudisha.",Spam
"Mambo, ni Brenda tuliofanya mazoezi ya jogging. Nimeumwa mguu, naomba Tsh 22,000 ya matibabu. Nitakushukuru",Spam
"Safi, ni Rajab tuliofanya mazoezi ya boxing. Nimeshindwa na malipo ya gym, naomba Tsh 28,000. Nitakupa mwisho wa mwezi",Spam
"Habari, ni Mama Rehema kutoka sokoni. Sina pesa ya mazao, naomba Tsh 8,000 tu. Nitakurejeshea kesho",Spam
"Hey, ni Michael tuliofanya kazi pamoja mwaka jana. Nipo kwenye dharura, naomba Tsh 45,000. Nitakulipa wiki ijayo",Spam
"Niaje, ni Aisha tuliyekutana kwenye sherehe ya Fatma. Nimeshindwa na rent, naomba Tsh 50,000. Nitakurejeshea",Spam
"Hujambo, ni Daudi – mwalimu wako wa computer class. Nimeshindwa na malipo ya mbwa wangu, naomba Tsh 15,000. Asante",Spam
"Mambo, ni Juma tuliyekuwa pamoja kwenye kikundi cha WhatsApp. Nipo kwenye shida, naomba Tsh 30,000. Nitakupa.",Spam
"Habari, ni Mama Pendo kutoka kanisani. Nimekosa pesa ya mafuta, naomba Tsh 10,000. Mungu akubariki.""",Spam
"Hey, ni Daniel tuliyekuwa nawe kwenye mazoezi ya choir. Nipo kwenye shida, naomba Tsh 25,000. Nitakurejeshea",Spam
"Habari! Kwa kuwa umejiunga na huduma yetu, unastahili kupata zawadi ya shilingi milioni moja. Tafadhali jibu kwa maelekezo zaidi",Spam
Jinsi ya kupata mkopo wa haraka bila kufanya kitu chochote. Hakikisha umetuma ombi lako kupitia link hii,Spam
"Pokea pesa taslimu za bure! Jaza fomu hii ili upokee Tsh 200,000",Spam
Akaunti yako ya benki imezuiliwa. Bonyeza hapa: ,Spam
Habari! Kuna kazi mpya inakusubiri. Tuma CV yako kwa jk@gmail.com,Spam
"Umepokea Tsh 70,000 kutoka 0689456320 . Kwa maelezo zaidi, piga 06578932",Spam
"Kuna tatizo na muamala wa Tsh 70,000 uliopokea kutoka 0689456320. Thibitisha hapa ili kuepuka kusitishwa kwa akaunti yako:",Spam
"Umebahatika! Kwa kupokea Tsh 120,000, namba yako imechaguliwa kushinda zawadi kubwa! Wasiliana nasi kwa 074632498 kudai zawadi yako.",Spam
"Nafasi ya kazi inapatikana! Tunahitaji watu kwa kazi rahisi na mshahara mzuri wa Tsh 50,000 kwa siku. Tuma jina lako kwenda 06XXXXXXXX",Spam
Kuna jaribio la kuingia kwenye akaunti yako ya . Thibitisha shughuli zako hapa: .,Spam
Ondoa mikosi na upate bahati maishani mwako. Wasiliana na Shehe Mussa kwa 078945623.,Spam
O611790882 weka kwenye HALOPESA jina PAULO DONARTI NKONDO,Spam
Utaniwekea kwenye Airtelmoney hii 0789-202-278 jina litakuja EVELINA NELBATI.ile inadeni usitumie,Spam
"Hujambo, ni Grace – tulikutana kwenye sherehe ya Daudi mwaka jana. Nimeshindwa na nauli, nisaidie Tsh 30,000 tu. Nitakurejeshea wiki ijayo. ??",Spam
"Mambo, ni John kutoka darasa lako la 2018. Nipo kwenye dharura, naomba unisaidie Tsh 25,000 kwa Airtel Money. Nitalipa kesho.",Spam
"Habari, ni Sarah tuliyekuwa pamoja kwenye kikundi cha WhatsApp. Nimeshindwa na malipo ya hostel, naomba Tsh 50,000. Nitarudisha mwisho wa mwezi",Spam
"Sema, ni David – mwenye duka la viatu pale Kariakoo. Nimeshindwa na bei ya mzigo, naomba Tsh 40,000 tu. Nitakupa kesho",Spam
"Mambo vipi, ni Mama Furaha kutoka kanisani. Nimeumwa na mgonjwa, naomba Tsh 20,000 ya dawa. Mungu akubariki",Spam
"Niaje, ni Juma tuliyefanya mazoezi ya gym pamoja. Nimepoteza mkoba wangu, naomba Tsh 15,000 ya nauli. Nitakuja kesho kukurepay",Spam
"Shikamoo, ni Bibi Zainab kutoka nyumbani mwako. Sina stima, naomba Tsh 10,000 ya kunitumia kwa LUKU. Nitakushukuru",Spam
"Hey, ni Paul – mwenye baiskeli yako ya Uber. Nimevunjika gari, naomba Tsh 35,000 ya spare part. Nitakulipa mwisho wa wiki.",Spam
"Habari yako, ni Daktari James kutoka hospitali ya Mwananyamala. Nimekosa fare, naomba Tsh 12,000 ya kufika kazini. Asante",Spam
"Ndugu, ni Fatuma tuliyeshirikiana kwenye biznesi. Nimekosa malipo, naomba Tsh 60,000 kwa mkopo. Nitakurejeshea mwezi ujao.",Spam
"Hellow, ni Steven – kaka yako wa kwenye kikundi cha WhatsApp. Nipo kwenye shida, naomba Tsh 18,000 ya chakula. Nitarudisha",Spam
"Mambo, ni Brenda tuliofanya mazoezi ya jogging. Nimeumwa mguu, naomba Tsh 22,000 ya matibabu. Nitakushukuru",Spam
"Safi, ni Rajab tuliofanya mazoezi ya boxing. Nimeshindwa na malipo ya gym, naomba Tsh 28,000. Nitakupa mwisho wa mwezi.",Spam
"Habari, ni Mama Rehema kutoka sokoni. Sina pesa ya mazao, naomba Tsh 8,000 tu. Nitakurejeshea kesho.",Spam
"Hey, ni Michael tuliofanya kazi pamoja mwaka jana. Nipo kwenye dharura, naomba Tsh 45,000. Nitakulipa wiki ijayo",Spam
"Niaje, ni Aisha tuliyekutana kwenye sherehe ya Fatma. Nimeshindwa na rent, naomba Tsh 50,000. Nitakurejeshea",Spam
"Hujambo, ni Daudi – mwalimu wako wa computer class. Nimeshindwa na malipo ya mbwa wangu, naomba Tsh 15,000. Asante.",Spam
"Mambo, ni Juma tuliyekuwa pamoja kwenye kikundi cha WhatsApp. Nipo kwenye shida, naomba Tsh 30,000. Nitakupa.",Spam
"Habari, ni Mama Pendo kutoka kanisani. Nimekosa pesa ya mafuta, naomba Tsh 10,000. Mungu akubariki",Spam
"Hey, ni Daniel tuliyekuwa nawe kwenye mazoezi ya choir. Nipo kwenye shida, naomba Tsh 25,000. Nitakurejeshea",Spam
au iyo ela nitumie kwenye HALOTEL hii O628159932 Jina litoke FABIAN MSIGALA,Spam
Akaunti yako ya benki iko hatarini. Bonyeza link hii kuthibitisha taarifa zako: http://bank-security-verification.com,Spam
Tuma kwenye namba hii. 0699998888,Spam
Iyo Ela tuma kwenye hi 0681001618 AirtelMoney Jina DIZELA MISOKALYA,Spam
"Jack: Financial recharge successful, balance: 2105121.00 TZS. Please cash out. Account: bt9896 Password: bb65289 Visit link: ddjji.com",Spam
"KARIBU UJIUNGE FREEMASON UMILIKI""'PESA MAJUMBA 'MAGARI NA BIASHARA""KUJIUNGA BILA KAFALA . PGSIMU 0613456004",Spam
"[HALO WINI] Hongera! Umezawadiwa Tsh7,000,000.00 Milioni Saba kutoka HALOTEL Kampuni No,1155 Piga Simu TCRA No,0775216408 ili kujaziwa fomu yako Ahsante! ",Spam
Ile pesa tuma kwa namba hii 06/07******. Jina ni *******,Spam
uyomzee nambazake ni 07485-46241 ndiyeanae saidia pete yabahati pesabila kafala kuludisha mke aumume nk. malipo ukifanikiwa,Spam
iyoela tumahumu 0680463821 AirterlMoney jina VICTOR SIMBEYE,Spam
+255610183738 namba yake hiyooiyo hela nitumie kwenye hii AirtelMoney O687582381 jina litoke MARIA SHIJA NGASA.,Spam
"rika) 19.""DHL inatangaza nafasi! Tuma Tsh 10,000 kwa 0730XXXXXX kwa usaili",Spam
"e, unahitaji utajiri wa haraka? Njoo kwa Dk. Mnyalukolo kutoka Tanga. Natibu kwa nguvu za majini. Pata pesa ndani ya saa 24. Pigia 07xxxxxxxx sasa hivi!""",Spam
"Umeachwa na mpenzi? Mpenzi hakusikilizi? Njoo kwa Babu Senga natibu mapenzi kwa muda wa saa 48 tu. Piga simu au tuma jina lako kwa 07xxxxxxxx.""",Spam
"Una kesi mahakamani? Unahitaji cheo kazini? Njoo kwa mganga Masharti Kali nitakusaidia upate ushindi bila tatizo. Huduma kwa njia ya simu pia inapatikana.""",Spam
"""Biashara yako inadorora? Wateja hawaji? Njoo kwa Mganga Mwasapila  natibu  biashara na kuvuta wateja papo kwa hapo. Usipoteze muda!""",Spam
"""Unatafuta kazi serikalini au nje ya nchi? Natibu kwa kutumia dawa za Kimasai. Hakikisha unapiga kabla ya saa 6 mchana. Dawa zangu haziangushi!""",Spam
"Usikose! Mkopo wa pesa za majini unapata TSH milioni 10 ndani ya siku moja bila kurudisha. Tuma jina lako na picha ya uso kwa WhatsApp 07xxxxxxxx.""",Spam
"Ajira za Uarabuni! Tuma Tsh 50,000 kwa 0759XXXXXX kwa visa na mikataba.""",Spam
"Nafasi za Canada! Tuma Tsh 80,000 kwa 0755XXXXXX kwa usajili.""",Spam
1. HONGERA! UMEJISHINDIA MILIONI 10!! DAI PESA YAKO SASA! JIBU NDIO ILI KUANZA MCHAKATO WA KUPATA PESA YAKO,Spam
Ile hela tuma kwenye namba hii. Jina litakuja xxxx xxxx,Spam
" NMB Bank: Nafasi za wateja wa huduma! Tuma Tsh 15,000 kwa 0780XXXXXX.""",Spam
"Airtel inafanya usaili! Tuma Tsh 5,000 kwa 0715XXXXXX kwa nafasi ya msimamizi",Spam
"Barrick Gold (Bulyanhulu): Ajira za migodi! Tuma Tsh 30,000 kwa 0657XXXXXX.",Spam
"Tigo inahitajika wafanyakazi! Tuma Tsh 8,000 kwa 0752XXXXXX kujiandikisha.",Spam
"Vodacom yatangaza ajira! Tuma Tsh 10,000 kwa 0654XXXXXX kupata nafasi yako.",Spam
"KCB Bank: Ajira za mwezi huu! Tuma Tsh 20,000 kwa 0711XXXXXX.",Spam
"Shirika la Red Cross: Uajiri wa haraka! Tuma Tsh 5,000 kwa 0762XXXXXX.",Spam
"Total Energies: Nafasi za mafuta! Tuma Tsh 25,000 kwa 0785XXX",Spam
"CRDB yatangaza kazi! Tuma Tsh 12,000 kwa 0620XXXXXX kwa maelezo. ",Spam
 Tunaleta mafunzo ya afya ya uzazi kwa akina mama wa kijiji.,Legitimate
Tumepokea ombi lako la usajili wa leseni ya biashara ndogo,Legitimate
Malipo ya ada ya mafunzo ya udereva yamepokelewa.,Legitimate
Tafadhali hudhuria mafunzo ya elimu ya fedha wiki ijayo.,Legitimate
Fuatilia taarifa zako za shule kupitia *152*00#.,Legitimate
Tunaleta huduma ya mkopo wa kilimo wa msimu ujao.,Legitimate
 Tumepokea ombi lako la usajili wa kampuni,Legitimate
Huduma ya posta inatoa punguzo kwa vifurushi vya ndani,Legitimate
 Tunakukaribisha kujiunga na kikundi cha mafunzo ya TEHAMA.,Legitimate
 Umepokea ujumbe wa pongezi kutoka shirika lako,Legitimate
Kumbuka kuwasilisha ripoti ya mwezi huu kabla ya tarehe 5,Legitimate
Tafadhali hakikisha umehudhuria mkutano wa kijiji.,Legitimate
"Malipo ya Tsh 6,500 yamepokelewa kutoka kwa mteja",Legitimate
" Umepokea voucher ya Tsh 2,000 kwa manunuzi ya mtandaoni",Legitimate
 Huduma ya kutuma taarifa kwa wazazi imeanzishwa.,Legitimate
 Umepokea arifa mpya kuhusu maendeleo ya miradi ya kijiji.,Legitimate
Tafadhali jaza fomu ya taarifa binafsi kwa ajili ya huduma bora.,Legitimate
 Mfumo wa usajili wa wagonjwa umeboreshwa.,Legitimate
"Malipo ya Tsh 15,000 kwa ada ya mtihani yamepokelewa",Legitimate
Huduma yako ya benki imefunguliwa upya kwa mafanikio.,Legitimate
Tunaleta ofa ya bima ya simu kwa wateja wapya,Legitimate
Tunakukaribisha kwenye semina ya ujasiriamali tarehe 20 Aprili.,Legitimate
Umefanikiwa kujiunga na huduma ya taarifa za afya.,Legitimate
Fuatilia maendeleo ya mwanao kupitia mfumo wa shule,Legitimate
Salio lako la muda wa maongezi ni Dakika 45.,Legitimate
"Malipo ya risiti yako ya umeme ni Tsh 13,000.",Legitimate
Umefanikiwa kujisajili kwenye Mfumo wa Ajira,Legitimate
Fika BRELA kuthibitisha jina la biashara yako.,Legitimate
 Umejiunga na kundi la wakulima wa kijiji chako,Legitimate
Huduma ya TEHAMA kwa vijana wa sekondari imezinduliwa,Legitimate
 Tarehe ya mwisho ya kulipa kodi ya nyumba ni 25 Aprili.,Legitimate
Huduma ya uendeshaji wa mafunzo kwa vijana inapatikana,Legitimate
Una nafasi ya kushiriki mashindano ya ubunifu.,Legitimate
Fika kituo cha afya kwa uchunguzi wa bure wa macho.,Legitimate
Umefanikiwa kusajili gari lako kwenye mfumo wa LATRA.,Legitimate
Malipo ya ada ya leseni ya biashara yako yamepokelewa,Legitimate
Miadi yako ya afya ya meno ni Ijumaa saa 10 jioni,Legitimate
 Akaunti yako ya posta sasa inaweza kupokea mizigo ya kimataifa,Legitimate
 Huduma ya usambazaji wa vitabu vya shule imeanza,Legitimate
Umeshinda nafasi ya kushiriki kwenye mafunzo ya uongozi.,Legitimate
Tafadhali hakikisha taarifa zako za NIDA zimesasishwa.,Legitimate
 Kumbuka kuchanja kwa dozi ya pili ya COVID-19 tarehe 15 Aprili,Legitimate
"Umepokea mkopo wa Tsh 100,000 kwa muda wa siku 30.",Legitimate
Pokea risiti ya manunuzi yako kupitia SMS,Legitimate
Fika ofisi ya NMB kuchukua hati ya mkopo,Legitimate
Malipo ya bima ya gari lako yamepokelewa,Legitimate
Tumepokea maombi yako ya nafasi ya kazi,Legitimate
Huduma yako ya TV ya mwezi huu imefanyiwa upya,Legitimate
Tunaleta huduma ya TEHAMA kwa shule za msingi,Legitimate
"Umelipa ada ya darasa la kompyuta Tsh 10,000",Legitimate
Huduma ya kuwasilisha mzigo wako imekamilika.,Legitimate
Ada ya chuo imepokelewa. Tarehe ya mwisho ya malipo ya awamu ya pili ni 30 Aprili,Legitimate
Huduma ya uhamiaji iko wazi siku za kazi kuanzia saa 3 asubuhi,Legitimate
 Kampeni ya chanjo inaendelea wiki hii kwa watoto chini ya miaka 5.,Legitimate
Huduma ya mkopo mdogo sasa inapatikana kupitia simu yako.,Legitimate
"Umelipia Tsh 35,000 kwa huduma ya bima ya afya",Legitimate
"Gharama ya matibabu yako ni Tsh 25,000. Asante kwa kutumia NHIF",Legitimate
Huduma ya usafi wa mtaa itafanyika Jumapili hii,Legitimate
Tunakukaribisha kushiriki mafunzo ya ujasiriamali.,Legitimate
Barua yako imefika ofisini. Tafadhali fika kuichukua,Legitimate
Huduma ya usafi wa mtaa itafanyika Jumapili hii.,Legitimate
Huduma yako ya DSTV imewezeshwa kwa mwezi mmoja.,Legitimate
Mkutano wa uhamasishaji kuhusu kilimo utafanyika kesho,Legitimate
Mwaliko rasmi wa mkutano wa kikundi chako umehifadhiwa,Legitimate
Tunakukumbusha kuhusu ada ya shule ya mwezi huu.,Legitimate
"Akaunti yako ya CRDB imepokea malipo ya Tsh 90,000",Legitimate
Mkutano wa wanachama wa SACCOS ni tarehe 12 Aprili saa 3 asubuhi,Legitimate
"Umepokea salio la vocha ya Tsh 1,000 ",Legitimate
Ofa maalum ya Pasaka: Pata MB 5000 kwa Tsh 5000. Dial *149*01# sasa!,Legitimate
 Umejiunga na kifurushi cha Dakika 100 + MB 1000 kwa Tsh 2000.,Legitimate
 Huduma ya kuchukua pasipoti itapatikana wiki ijayo. Tafadhali panga muda wako,Legitimate
Asante kwa kujisajili. Utapokea taarifa zaidi kupitia barua pepe yako.,Legitimate
Umejiunga na huduma ya kifurushi cha wiki. Kinamalizika tarehe 13/04/2025.,Legitimate
"Umepokea malipo ya TZS 120,000 kutoka kwa A. Komba. Rejea: 4432KM.",Legitimate
Nakala ya risiti yako ya malipo imetumwa kwa barua pepe.,Legitimate
Agizo lako la vifaa vya ofisini limepokelewa. Tutalifikisha ndani ya siku 2.,Legitimate
Tafadhali thibitisha upokeaji wa mzigo uliotumwa jana kupitia basi la Mtei.,Legitimate
"Ada yako ya kozi imesalia TZS 75,000. Tafadhali lipa kabla ya tarehe ya mwisho.",Legitimate
Tunaendelea kuchakata malipo yako. Utaarifiwa mara tu yatakapokamilika.,Legitimate
Huduma ya intaneti imekatika kwa sababu ya malipo kuchelewa. Tafadhali lipa ili kuunganishwa tena,Legitimate
Malipo yako kwa ajili ya bima yamepokelewa. Kadi yako itatumwa ndani ya siku 3.,Legitimate
"Umetuma TZS 35,000 kwa Juma K. Salio lako ni TZS 4,200.",Legitimate
"Kiasi cha TZS 10,000 kimeingizwa kwenye akaunti yako kupitia wakala.",Legitimate
Malipo ya manunuzi yako yameidhinishwa. Asante kwa kutumia huduma yetu.,Legitimate
Mkataba wako mpya wa huduma umetumwa kwa ajili ya kusainiwa.,Legitimate
Tunakutaarifu kuhusu mabadiliko ya bei ya huduma kuanzia tarehe 15 Aprili.,Legitimate
Muamala wako haukukamilika. Tafadhali jaribu tena baada ya dakika chache.,Legitimate
Nambari ya vocha ya kurudishiwa fedha ni 99233. Tafadhali itumie ndani ya siku 7.,Legitimate
Agizo lako namba #1124 lipo njiani. Litatumwa kupitia Gari la Kampuni leo saa 4.,Legitimate
Fomu ya maombi imepokelewa. Tafadhali subiri uthibitisho kupitia SMS.,Legitimate
Umefanikiwa kufanya usajili wa huduma ya SMS ya taasisi.,Legitimate
Tunapitia maombi yako kwa sasa. Taarifa zaidi zitatumwa hivi karibuni.,Legitimate
Karibu kwenye mfumo mpya wa huduma. Akaunti yako iko tayari kutumika.,Legitimate
Malipo ya huduma ya usafiri kwa mwezi huu yamepokelewa. Asante kwa kuendelea kutuamini.,Legitimate
Umefanikiwa kuandikishwa katika mfumo wa ufuatiliaji wa mafunzo ya ndani.,Legitimate
Huduma ya kutuma hati kwa njia ya kidigitali imewashwa kwenye akaunti yako.,Legitimate
"Ombi lako la kurejeshewa fedha limekubaliwa. Utapokea TZS 20,000 ndani ya siku 2.",Legitimate
Ripoti ya mwisho ya matumizi ya mwezi imetumwa kwa barua pepe yako.,Legitimate
Tafadhali fika katika tawi letu kwa ajili ya uthibitisho wa kitambulisho.,Legitimate
"Malipo ya mkopo wako ya mwezi Aprili yamepokelewa. Salio lililobaki: TZS 350,000.",Legitimate
"Umepokea TZS 150,000 kutoka kwa DAUDI M. kupitia M-Pesa. Rejea: MP133847Z.",Legitimate
"Salio lako katika akaunti ya akiba ni TZS 23,600. Asante kwa kutumia huduma zetu.",Legitimate
Tunakukumbusha kulipa deni lako kabla ya tarehe 10 Aprili ili kuepuka riba ya kuchelewa.,Legitimate
"Umetuma TZS 75,000 kwenda akaunti ya CRDB namba 015678934500.",Legitimate
Umejiunga na huduma ya taarifa za akaunti kwa SMS. Ada ya kila mwezi: TZS 500.,Legitimate
Tafadhali thibitisha maelezo yako ya kibinafsi kwa kutembelea tawi letu kabla ya 15/04/2025.,Legitimate
Ombi lako la kadi mpya ya benki limepokelewa. Utajulishwa pindi itakapokuwa tayari.,Legitimate
Rekodi zako za miamala ya mwezi Machi zinapatikana kwenye app yetu au barua pepe.,Legitimate
"Akaunti yako imepata amana ya TZS 250,000. Muamala umetumwa na: TANTRADE.",Legitimate
Ulipaji wa mkopo namba 99434 umekamilika. Asante kwa uaminifu wako.,Legitimate
"Kiasi cha TZS 20,000 kimeondolewa kutoka akaunti yako kupitia ATM ya NMB.",Legitimate
"Tafadhali lipa kiasi kilichosalia cha mkopo: TZS 80,000 kabla ya 07/04/2025.",Legitimate
"Umefanikiwa kutuma TZS 10,000 kwenda kwa MTWALE VICOBA. Rejea: VC12454.",Legitimate
"Umepokea Tsh 70,000 kutoka 06XXXXXXXX. Kwa usalama wako, tunakushauri kutothibitisha muamala huu kwa namba usiyoijua. Piga 100 kujua zaidi.",Legitimate
Maombi yako ya mkopo wa dharura yapo kwenye hatua ya mwisho ya uchambuzi.,Legitimate
"Tunakutaarifu kuwa kiwango chako cha mkopo kimeongezwa hadi TZS 500,000.",Legitimate
Kumbukumbu ya miamala ya wiki hii imeambatishwa kwenye barua pepe yako.,Legitimate
Kadi yako ya debit itafikia ukomo wa matumizi tarehe 30/04/2025. Tafadhali fanya upya mapema.,Legitimate
"Kiasi cha TZS 5,000 kimekatwa kwa ajili ya huduma ya SMS Banking.",Legitimate
Akaunti yako haijatumika kwa miezi 6. Tafadhali fanya muamala wowote kuiepuka kufungwa.,Legitimate
"Umetuma TZS 15,000 kwa Faiza M. Tarehe: 05/04/2025. Salio: TZS 8,200.",Legitimate
poa,Legitimate
mzma,Legitimate
za wewe,Legitimate
uwi unafanya part gani A ipi,Legitimate
am gud,Legitimate
Mzm u,Legitimate
Morning,Legitimate
Alaf leo,Legitimate
Hey,Legitimate
Za jioni,Legitimate
Ok,Legitimate
Habari nimejaribu kukupigia simu Tarehe 03-04-2025 saa 09:12:11 lakini hukupatikana. Tafadhali nipigie. Asante.,Legitimate
"Unahitaji pesa ya matumizi ya ghafla? Usiwaze! Piga *150*60# au tumia apu ya Airtel Money kuomba mkopo mwingine wa TIMIZA. Sitisha SMS: *150*60# TIMIZA, 4, 7.",Legitimate
Usiku mwema,Legitimate
Anakuja,Legitimate
Upo nje,Legitimate
Au,Legitimate
Ehh pole,Legitimate
Yes,Legitimate
yeah,Legitimate
Okay,Legitimate
Nakuja,Legitimate
Mambo,Legitimate
